iter	Passed	Remaining
0	16	16950
1	25	12802
2	34	11367
3	42	10551
4	51	10152
5	59	9884
6	67	9644
7	76	9471
8	85	9409
9	95	9449
10	105	9449
11	114	9462
12	123	9382
13	132	9304
14	140	9208
15	148	9129
16	156	9047
17	165	9044
18	174	8987
19	182	8940
20	190	8891
21	198	8840
22	207	8802
23	215	8769
24	223	8734
25	232	8699
26	240	8664
27	250	8696
28	259	8691
29	268	8678
30	276	8654
31	285	8628
32	294	8629
33	304	8642
34	312	8613
35	320	8587
36	329	8568
37	337	8552
38	346	8539
39	363	8715
40	374	8765
41	390	8914
42	399	8894
43	408	8874
44	418	8890
45	427	8871
46	435	8839
47	444	8817
48	453	8806
49	462	8794
50	471	8768
51	479	8742
52	488	8735
53	500	8771
54	509	8758
55	517	8729
56	526	8710
57	535	8697
58	545	8695
59	553	8675
60	562	8659
61	571	8638
62	579	8617
63	589	8620
64	598	8615
65	607	8593
66	616	8580
67	624	8565
68	633	8544
69	643	8546
70	651	8522
71	659	8505
72	670	8512
73	680	8518
74	690	8519
75	703	8549
76	713	8551
77	722	8542
78	732	8544
79	742	8533
80	755	8574
81	769	8613
82	778	8601
83	787	8584
84	795	8566
85	804	8550
86	813	8533
87	822	8520
88	831	8513
89	841	8510
90	852	8510
91	860	8497
92	871	8500
93	880	8490
94	890	8478
95	898	8462
96	907	8444
97	916	8432
98	924	8411
99	932	8392
100	940	8374
101	949	8362
102	958	8345
103	967	8333
104	976	8323
105	985	8309
106	994	8298
107	1003	8284
108	1011	8267
109	1019	8252
110	1029	8249
111	1039	8241
112	1049	8241
113	1059	8232
114	1069	8229
115	1079	8227
116	1089	8221
117	1099	8217
118	1108	8203
119	1117	8194
120	1126	8185
121	1136	8178
122	1145	8170
123	1154	8156
124	1164	8149
125	1173	8136
126	1182	8129
127	1191	8118
128	1200	8107
129	1210	8097
130	1219	8087
131	1227	8073
132	1236	8062
133	1245	8047
134	1254	8036
135	1262	8021
136	1271	8008
137	1280	7998
138	1288	7983
139	1297	7970
140	1306	7957
141	1315	7948
142	1324	7935
143	1333	7925
144	1342	7913
145	1350	7899
146	1360	7893
147	1369	7883
148	1379	7876
149	1390	7877
150	1403	7890
151	1415	7894
152	1423	7881
153	1432	7868
154	1441	7857
155	1450	7847
156	1461	7846
157	1470	7837
158	1480	7830
159	1490	7822
160	1499	7813
161	1508	7803
162	1518	7795
163	1527	7784
164	1535	7772
165	1545	7762
166	1559	7779
167	1568	7767
168	1577	7754
169	1585	7742
170	1594	7732
171	1604	7724
172	1616	7727
173	1629	7737
174	1639	7729
175	1649	7722
176	1658	7710
177	1667	7699
178	1676	7690
179	1685	7678
180	1696	7677
181	1711	7692
182	1722	7689
183	1734	7691
184	1746	7695
185	1757	7689
186	1766	7681
187	1776	7673
188	1785	7661
189	1794	7648
190	1802	7635
191	1811	7621
192	1819	7608
193	1828	7595
194	1836	7582
195	1846	7573
196	1854	7561
197	1864	7551
198	1875	7547
199	1885	7543
200	1895	7536
201	1905	7527
202	1914	7517
203	1924	7508
204	1932	7495
